user_id,age, gender, country, device_type,visits,avg_time_spent_minutes,pages_viewed,previous_purchases,cart_added,discount_applied,will_purchase
1,22,Male,India,Mobile,1,2.1,3,0,false,false,0
2,25,Female,India,Desktop,4,10.5,12,1,true,true,1
3,31,Male,USA,Desktop,3,8.4,9,1,true,false,1
4,40,Female,UK,Tablet,1,1.9,2,0,false,false,0
5,27,Male,India,Mobile,5,14.2,18,2,true,true,1
6,34,Female,Germany,Desktop,2,6.8,7,1,false,false,0
7,29,Male,India,Mobile,6,16.1,22,3,true,true,1
8,44,Female,USA,Desktop,1,3.1,4,0,false,false,0
9,36,Male,Canada,Tablet,3,7.5,10,1,true,false,1
10,23,Female,India,Mobile,2,2.8,4,0,false,false,0
11,41,Male,UK,Desktop,5,12.3,16,2,true,true,1
12,28,Female,India,Mobile,4,11.9,14,2,true,true,1
13,35,Male,USA,Desktop,2,4.6,6,0,false,true,0
14,46,Female,Germany,Tablet,1,1.5,2,0,false,false,0
15,32,Male,India,Mobile,7,18.2,26,4,true,true,1
16,38,Female,Canada,Desktop,3,8.9,11,1,true,false,1
17,26,Male,India,Mobile,1,2.0,3,0,false,false,0
18,30,Female,India,Desktop,5,13.6,17,2,true,true,1
19,42,Male,USA,Tablet,2,4.4,6,0,false,true,0
20,24,Female,India,Mobile,3,6.7,8,1,true,false,1
21,37,Male,UK,Desktop,4,9.2,12,1,true,true,1
22,33,Female,India,Mobile,6,15.1,20,3,true,true,1
23,45,Male,Germany,Desktop,1,2.5,3,0,false,false,0
24,28,Female,India,Mobile,2,3.4,5,0,false,false,0
25,39,Male,USA,Desktop,5,14.7,19,2,true,true,1
26,34,Female,Canada,Tablet,3,7.9,10,1,true,false,1
27,21,Male,India,Mobile,1,1.8,2,0,false,false,0
28,31,Female,India,Desktop,4,10.2,13,1,true,true,1
29,43,Male,UK,Tablet,2,4.9,6,0,false,true,0
30,27,Female,India,Mobile,5,12.8,16,2,true,true,1
31,36,Male,USA,Desktop,6,17.4,24,3,true,true,1
32,29,Female,India,Mobile,3,7.3,9,1,true,false,1
33,41,Male,Germany,Desktop,2,4.1,5,0,false,false,0
34,35,Female,Canada,Tablet,1,2.2,3,0,false,false,0
35,26,Male,India,Mobile,4,11.5,15,2,true,true,1
36,38,Female,USA,Desktop,5,13.9,18,2,true,true,1
37,22,Male,India,Mobile,1,1.6,2,0,false,false,0
38,33,Female,India,Desktop,4,9.8,12,1,true,true,1
39,47,Male,UK,Tablet,2,3.9,5,0,false,true,0
40,30,Female,India,Mobile,6,16.8,21,3,true,true,1
41,34,Male,India,Desktop,3,8.1,10,1,true,false,1
42,28,Female,USA,Mobile,2,4.5,6,0,false,false,0
43,45,Male,Canada,Desktop,5,15.6,20,2,true,true,1
44,23,Female,India,Mobile,1,2.3,3,0,false,false,0
45,39,Male,UK,Desktop,4,11.4,14,1,true,true,1
46,31,Female,India,Mobile,5,13.2,17,2,true,true,1
47,42,Male,Germany,Tablet,2,4.8,6,0,false,true,0
48,26,Female,India,Mobile,3,7.1,9,1,true,false,1
49,37,Male,USA,Desktop,6,18.0,25,3,true,true,1
50,24,Female,India,Mobile,2,3.0,4,0,false,false,0
